key,input,Log10PermCoeff
RLRUYRISSFESDJ-UHFFFAOYSA-N,COCC(=O)Nc1cc(OC)c(Br)cn1,-1.4541277
QROLRODPURHMRQ-UHFFFAOYSA-N,CC(C)(NC(=O)c1cc(-c2ccccc2)[nH]n1)C(N)=O,-4.0053053
AJFTZWGGHJXZOB-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,-1.4020627
RBCHRRIVFAIGFI-RGBMRXMBSA-N,C[C@H](N)C(=O)N[C@@H]1[C@H]2C(=C(O)C[C@@H](O)[C@@H]2O)C(=O)O[C@]1(C)C(Cl)Cl,-2.9294145
MNWBNQVRFGGMPY-VXGBXAGGSA-N,CCOc1ncccc1C(=O)N[C@@H]1CCOC[C@H]1OC,-0.69159085
ZJFLBMROBHRZJK-UHFFFAOYSA-N,OCCN1CCN(c2ccc(CO)nn2)CC1,-3.0623395
QPVRKGNTQQJCQH-UHFFFAOYSA-N,N#Cc1ccc(S(=O)(=O)CC(N)=O)c(Cl)c1,-2.7599854
MFNVVSHKAMJFNQ-GPSVEUOESA-M,CO/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)[O-])[C@H]1CSCCN)c1cnc(N)s1.[K+],-4.178091
YAZLUMAQQLZIOI-UHFFFAOYSA-N,COc1ccccc1[As](=O)(O)CC(O)COc1ccc(Cl)cc1Cl,-1.4610938
PFGXQWIBCJIPPD-UHFFFAOYSA-N,CN(Cc1ccco1)CC(O)COCc1cccs1,-2.5846848
GFCWOEUGNLXNIN-UHFFFAOYSA-N,O=C(c1ccc2cccc(F)c2n1)N1CCSCC1,-1.9539313
YVNTXIRIEGZOPC-UHFFFAOYSA-N,COC(=O)CC1CCCCN1CC(N)=O,-1.6968404
IUKLGFZVGOTNCF-UHFFFAOYSA-N,Cc1cc(Br)oc1C(=O)N1CCCN(C)CC1,-2.0643327
OJMJGKJAHWNNEV-UVHMKAGCSA-N,O=C1c2cccc3c(N/N=C/c4ccc5ccccc5c4)ccc(c23)C(=O)N1C(CO)CO,-2.4476366
CBICTOXYRHYTBJ-UHFFFAOYSA-N,CN1CCN(c2nc(N)cc(O)n2)CC1,-3.3418036
WMSMBCIJYODQMD-UHFFFAOYSA-N,c1ccc(SSC2CCCC2)nc1,-1.9522918
LNBBCOCRJLXCNG-UHFFFAOYSA-N,Cc1ccc(NC(=O)Cn2nc3cc(C)nc(Nc4ccc(F)c(C)c4)n3c2=O)cc1,-1.1393142
XXYNZSATHOXXBJ-UHFFFAOYSA-N,O=C1NC(=O)c2c(O)cccc21,-3.0898986
LHKLXHLLWWQIHU-WEVVVXLNSA-N,COCCOC1CCN(CCNC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(/C=C/c5ccc(OC)cc5)nc4)cn3C)cn2C)CC1,-2.9440436
VZDPNWPFHSBJNB-UHFFFAOYSA-N,CC(C)c1noc(CCC(=O)NCc2cccnc2)n1,-1.1311942
NHVMKRIECXSOTL-UHFFFAOYSA-N,CN(C)CC(=O)Nc1cc(Cl)cc2c1OCC2,-2.372635
