key,input,pic50
OHRUAUZVZIZFPJ-UHFFFAOYSA-N,CCCCCCCCN(CCCCCCCC)C(=O)N(CCCCCCCC)CCCCCCCC,7.191845417022705
WOFMAJRTALEFSP-UHFFFAOYSA-N,CCn1ncnc1CNC(=O)Cn1nc(C)c(Cl)c1C,3.5972938537597656
UZYJXGFNTGFBIU-UHFFFAOYSA-N,COCC(=O)N1CCN(CCC(C)C)CC1,3.7164714336395264
TYLNPEFSVBJQHA-RCSZBHJWSA-N,COc1cnc2ccc(=O)n3c2c1[C@](O)(CC12CCC(NCc4ccc5c(n4)NC(=O)CO5)(CC1)CO2)C3,4.242967128753662
RVRWJOHSZVEGJH-UHFFFAOYSA-N,CCc1ccc(CN2CC(N3CCOCC3)C2)o1,3.9976954460144043
YCQNUOYFBNSHGJ-UHFFFAOYSA-N,COc1ccc(CNc2ccncc2F)cc1C#N,5.2583208084106445
XGQNUIKLWGEDJT-UHFFFAOYSA-N,C=Cc1ccc(CN(c2cccc(Cl)c2)S(=O)(=O)c2cccn3c(C)nnc23)cc1,5.737318515777588
UBSNLRKSDUHVQR-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(OCC2CCNC2)cc1,4.238056659698486
AYUIGKPBXQKYAL-UHFFFAOYSA-N,Cc1nonc1NC(=O)COc1ccc(Cl)cc1,3.9390387535095215
CDFRBNCHVUZCQI-UHFFFAOYSA-N,CCC1c2ccsc2CCN1C(C)=O,4.22925329208374
XBCAAKZGYLAVFI-GQHBYXAXSA-N,CNCC1=CC[C@H](N)[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CN)[C@H](O)[C@@H](O)[C@@H]4N)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)O1,4.743768215179443
WTUVPHSLZVBUQM-XQWCLAQASA-N,Cc1cc(=O)oc2cc(/N=C3/S/C(=C\c4ncc[nH]4)C(=O)N3CCO)ccc12,5.164486408233643
DHBWLDCUHRZWSK-UHFFFAOYSA-N,COc1ccc(C(=O)Nc2cc(Br)c(=O)n(C)c2)cc1,5.062513828277588
JWMXGVZHUYDMMN-UHFFFAOYSA-N,COCCn1cnnc1CN(C)Cc1nccs1,4.344884395599365
PPQDYOBQQWPTIS-UHFFFAOYSA-N,CCN(CC)CC(N)=O,2.5711188316345215
AETOPWMKFWIKLI-UHFFFAOYSA-N,Cc1ccncc1S(N)(=O)=O,4.388576984405518
RRMXMQZXAPVOIW-UHFFFAOYSA-N,CCCc1nnc(N2CCC3(CC2)OCC(C)O3)s1,4.346859455108643
UKTZQKOLUAZBCA-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)OCCOc1ccc([N+](=O)[O-])cc1,5.161478519439697
BYGFMYUUSZIFTD-UHFFFAOYSA-N,COc1cccc(CN(CCN(C)C)S(C)(=O)=O)c1,4.8950910568237305
DDWSGKGXDJNGKU-UHFFFAOYSA-N,COc1ccccc1OCCCCn1c(C2CC2)nc2ccccc21,6.522452354431152
CKOIKOHDEYTLFR-PFBPGKLMSA-N,CC(O)CO.N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,4.972271919250488
MJEIOIYAUNUKPJ-UHFFFAOYSA-N,CSC1(CNC(=O)NCc2ccco2)CCOCC1,4.48097562789917
XLNNPCYCCGZGCT-UHFFFAOYSA-N,CCNC(=O)c1cc(N2CCC(C(N)=O)C2)ccn1,4.875778675079346
ZSJPGUBWQFLBPS-UHFFFAOYSA-N,Cc1cc(C(=O)N(C)CC(=O)NC2CC2)c(C)o1,3.6111767292022705
COEWSDOBJWIGJN-UHFFFAOYSA-N,CCCC(=O)N1CCN(C(=O)NCC)CC1,4.0721354484558105
XWCNSHMHUZCRLN-QMMMGPOBSA-N,CN(C)CC[C@H](O)c1cccs1,4.63173246383667
QVWDCUMRWIBGJX-UHFFFAOYSA-N,Cc1cc(C)n(O)c(=O)c1,3.2354423999786377
SSJHPRPWKDNTKY-UHFFFAOYSA-N,Cn1ccnc1C1c2ccc3cccnc3c2Oc2nc3c(c(N)c21)CCC3,5.313918113708496
IECABDVEOXKJLD-UHFFFAOYSA-N,O=C(Cn1nc2c(Oc3ccccc3)nccn2c1=O)Nc1ccc(Cl)cc1,5.604856014251709
BKMIWTIVWVGENZ-ZIAGYGMSSA-N,O=C(N[C@@H]1CCNC[C@H]1O)c1ccc2ncccc2c1,4.470104694366455
ZUTJESUULILVEZ-UHFFFAOYSA-N,CN1CCCC(NC(=O)c2cc3c([nH]c2=O)CCC3)C1,4.214081287384033
KWXIPEYKZKIAKR-UHFFFAOYSA-N,Cc1cc(=O)[nH]c(N)n1,2.8283090591430664
IYRMWMYZSQPJKC-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.636816501617432
IWUWRIODPMJYHW-UHFFFAOYSA-N,COc1cccc(-n2ccn3c(SCC(=O)c4ccc(C)cc4)nnc3c2=O)c1,5.5868144035339355
IWCKYHAVOODCLG-UHFFFAOYSA-N,COC(=O)CSc1nnc2ccccn12,4.3823394775390625
IPPRDEWKIAKMHS-UHFFFAOYSA-N,O=C(Cn1cnc2sccc2c1=O)NCC(F)(F)F,5.12251615524292
