key,input,sa_score
POUNIPAPKJBRRE-UHFFFAOYSA-N,CCN(CC)CCNc1nc(Nc2cccc(OC)c2)c2cnn(-c3ccccc3)c2n1,2.380321
AFJYYKSVHJGXSN-XHKIUTQPSA-N,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)[C@@H]1O,7.628525
KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC(C)O,3.176201
NFGXHKASABOEEW-LDRANXPESA-N,COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C,3.457615
JUVIOZPCNVVQFO-HBGVWJBISA-N,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,3.868042
FHIVAFMUCKRCQO-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,2.986167
JXSJBGJIGXNWCI-UHFFFAOYSA-N,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,3.406189
SBPBAQFWLVIOKP-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.114646
UHXUZOCRWCRNSJ-DAXSKMNVSA-N,CNC(=O)O/N=C(/C)SC,3.173214
WWJZWCUNLNYYAU-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,2.942481
XEGGRYVFLWGFHI-UHFFFAOYSA-N,CNC(=O)Oc1cccc2c1OC(C)(C)O2,2.547297
ISRUGXGCCGIOQO-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1OC(C)C,1.885445
FTNJWQUOZFUQQJ-NDAWSKJSSA-N,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,7.579342
QCOMSCMCLJYCGQ-UHFFFAOYSA-N,Cc1ccc(-c2c3c(nc4sc(C(=O)Nc5ccc(F)cc5)c(N)c24)CCC3)cc1,2.312119
PBBOZUOABOQPIO-UHFFFAOYSA-N,Cn1nc(C(=O)Nc2ccc(F)c(Cl)c2)c2c1-c1ccccc1S(=O)(=O)C2,2.543706
OYIVGGQANPVEOG-UHFFFAOYSA-N,CN(C)CCn1cnc2sc3c(c2c1=O)CCC(NCc1cccc(Cl)c1)C3,2.94845
XORNCANFMVYCLV-UHFFFAOYSA-N,CCOc1ccccc1NC(=O)Cn1c(=O)n(Cc2ccccc2)c(=O)c2c(C)c(C(=O)N(C)C)sc21,2.459283
QOZTVQSJNUMAOB-UHFFFAOYSA-N,O=C1CN(C(=O)CCC2CCCC2)C(c2ccc(F)cc2)c2cc(Cl)ccc2N1,2.808179
OCCUMLIJOZRRME-UHFFFAOYSA-N,CCOCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,2.412225
SONMEGGVAXTHSF-UHFFFAOYSA-N,Cc1cc(C(=O)N2CCOc3c(cc(-c4csc5ccccc45)cc3OCCc3ccccn3)C2)n(C)n1,2.834473
DJFHXCQDOPXQJX-UHFFFAOYSA-N,Cc1c2c(n3c(nc4ccccc43)c1C#N)N(CCN(C)C)CC2,2.768691
BUHIYDXAHHIEOH-UHFFFAOYSA-N,CCC(C)(C)n1nnnc1C(c1cc2ccc(C)cc2[nH]c1=O)N1CCN(c2ccccc2)CC1,3.068673
LZCORHRFKUGWLO-UHFFFAOYSA-N,c1ccc(CCc2nc3cccnc3n2C2CCN(C3CCN(Cc4ccccc4)CC3)CC2)cc1,2.397558
WGTIFUWEMHRDIA-UHFFFAOYSA-N,CCOC(=O)C1=C(CC)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(Br)cc1,3.033477
KPPCJSGTXNHSNM-UHFFFAOYSA-N,CCOc1ccc(-c2nc(NC(=O)Cc3cccc(OC)c3)sc2C)cc1,1.972624
FPBOJSZTZJVZBC-UHFFFAOYSA-N,Cc1nc2ccccn2c1C1(O)C(=O)Nc2c(Cl)cc(Cl)cc21,3.369255
GBHAMEKPSXJVSA-UHFFFAOYSA-N,COc1ccc(CCN(Cc2cccs2)C(=O)c2cc3sccc3n2C)cc1OC,2.479157
HQSVQRVPVORTDE-UHFFFAOYSA-N,CN(C)CCNC(=O)c1csc(Nc2ccc(Cl)c(Cl)c2)n1,2.146315
HDKQZEYPCUHJCU-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1ccc(NC(=O)c2cc3c(C)nn(-c4ccc(Cl)cc4)c3s2)cc1,2.367834
FQBOEVWIVUGOMM-UHFFFAOYSA-N,Cc1ccc(Cl)cc1NC(=O)c1c(-c2ccccc2Cl)noc1C,1.982172
UDCRKFVRSKUTLW-UHFFFAOYSA-N,Cc1nn(-c2cccc(Cl)c2)c2c1C(C(=O)c1ccc3c(c1)OCO3)CC(=O)N2,3.198486
GFOASFGJHHKCPE-UHFFFAOYSA-N,COc1ccc(-n2nc(C)c3c2NC(=O)CC3c2ccccc2OCc2ccc(F)cc2)cc1,2.925381
CZEYOONATWUTGQ-UHFFFAOYSA-N,CN(C)CCCN1C(=O)c2[nH]nc(-c3ccc(Cl)cc3O)c2C1c1ccc(Cl)cc1,2.99976
HDRFYWKJBXFAEJ-UHFFFAOYSA-N,CCc1nn2c(Nc3ccncc3)cc(C)nc2c1-c1ccccc1,2.36803
QWSKWUMQKHICFZ-UHFFFAOYSA-N,Cc1ccc(C)c2sc(N(CCCn3ccnc3)C(=O)c3ccco3)nc12,2.597002
CDXMINFLTPLVLP-UHFFFAOYSA-N,COc1ccc(-c2cc3ncnc(N4CCN(CCN5CCCC5)CC4)c3s2)cc1,2.343071
GCQAUYNANZDAAM-UHFFFAOYSA-N,COc1ccc(C(=O)N2CCC3(CC2)C(=O)N(CC(=O)NCC2CCCCC2)CN3c2ccccc2)c(OC)c1,3.076737
